R,G,B,Hex
0,40,245,#0028F5
0,40,250,#0028FA
0,40,255,#0028FF
0,45,0,#002D00
0,45,5,#002D05
0,45,10,#002D0A
0,45,15,#002D0F
0,45,20,#002D14
0,45,25,#002D19
0,45,30,#002D1E
0,45,35,#002D23
0,45,40,#002D28
0,45,45,#002D2D
0,45,50,#002D32
0,45,55,#002D37
0,45,60,#002D3C
0,45,65,#002D41
0,45,70,#002D46
0,45,75,#002D4B
0,45,80,#002D50
0,45,85,#002D55
0,45,90,#002D5A
0,45,95,#002D5F
0,45,100,#002D64
0,45,105,#002D69
0,45,110,#002D6E
0,45,115,#002D73
0,45,120,#002D78
0,45,125,#002D7D
0,45,130,#002D82
0,45,135,#002D87
0,45,140,#002D8C
0,45,145,#002D91
0,45,150,#002D96
0,45,155,#002D9B
0,45,160,#002DA0
0,45,165,#002DA5
0,45,170,#002DAA
0,45,175,#002DAF
0,45,180,#002DB4
0,45,185,#002DB9
0,45,190,#002DBE
0,45,195,#002DC3
0,45,200,#002DC8
0,45,205,#002DCD
0,45,210,#002DD2
0,45,215,#002DD7
0,45,220,#002DDC
0,45,225,#002DE1
0,45,230,#002DE6
0,45,235,#002DEB
0,45,240,#002DF0
0,45,245,#002DF5
0,45,250,#002DFA
0,45,255,#002DFF
0,50,0,#003200
0,50,5,#003205
0,50,10,#00320A
0,50,15,#00320F
0,50,20,#003214
0,50,25,#003219
0,50,30,#00321E
0,50,35,#003223
0,50,40,#003228
0,50,45,#00322D
0,50,50,#003232
0,50,55,#003237
0,50,60,#00323C
0,50,65,#003241
0,50,70,#003246
0,50,75,#00324B
0,50,80,#003250
0,50,85,#003255
0,50,90,#00325A
0,50,95,#00325F
0,50,100,#003264
0,50,105,#003269
0,50,110,#00326E
0,50,115,#003273
0,50,120,#003278
0,50,125,#00327D
0,50,130,#003282
0,50,135,#003287
0,50,140,#00328C
0,50,145,#003291
0,50,150,#003296
0,50,155,#00329B
0,50,160,#0032A0
0,50,165,#0032A5
0,50,170,#0032AA
0,50,175,#0032AF
0,50,180,#0032B4
0,50,185,#0032B9
0,50,190,#0032BE
0,50,195,#0032C3
0,50,200,#0032C8
0,50,205,#0032CD
0,50,210,#0032D2
0,50,215,#0032D7
0,50,220,#0032DC
0,50,225,#0032E1
0,50,230,#0032E6
0,50,235,#0032EB
0,50,240,#0032F0
0,50,245,#0032F5
0,50,250,#0032FA
0,50,255,#0032FF
0,55,0,#003700
0,55,5,#003705
0,55,10,#00370A
0,55,15,#00370F
0,55,20,#003714
0,55,25,#003719
0,55,30,#00371E
0,55,35,#003723
0,55,40,#003728
0,55,45,#00372D
0,55,50,#003732
0,55,55,#003737
0,55,60,#00373C
0,55,65,#003741
0,55,70,#003746
0,55,75,#00374B
0,55,80,#003750
0,55,85,#003755
0,55,90,#00375A
0,55,95,#00375F
0,55,100,#003764
0,55,105,#003769
0,55,110,#00376E
0,55,115,#003773
0,55,120,#003778
0,55,125,#00377D
0,55,130,#003782
0,55,135,#003787
0,55,140,#00378C
0,55,145,#003791
0,55,150,#003796
0,55,155,#00379B
0,55,160,#0037A0
0,55,165,#0037A5
0,55,170,#0037AA
0,55,175,#0037AF
0,55,180,#0037B4
0,55,185,#0037B9
0,55,190,#0037BE
0,55,195,#0037C3
0,55,200,#0037C8
0,55,205,#0037CD
0,55,210,#0037D2
0,55,215,#0037D7
0,55,220,#0037DC
0,55,225,#0037E1
0,55,230,#0037E6
0,55,235,#0037EB
0,55,240,#0037F0
0,55,245,#0037F5
0,55,250,#0037FA
0,55,255,#0037FF
0,60,0,#003C00
0,60,5,#003C05
0,60,10,#003C0A
0,60,15,#003C0F
0,60,20,#003C14
0,60,25,#003C19
0,60,30,#003C1E
0,60,35,#003C23
0,60,40,#003C28
0,60,45,#003C2D
0,60,50,#003C32
0,60,55,#003C37
0,60,60,#003C3C
0,60,65,#003C41
0,60,70,#003C46
0,60,75,#003C4B
0,60,80,#003C50
0,60,85,#003C55
0,60,90,#003C5A
0,60,95,#003C5F
0,60,100,#003C64
0,60,105,#003C69
0,60,110,#003C6E
0,60,115,#003C73
0,60,120,#003C78
0,60,125,#003C7D
0,60,130,#003C82
0,60,135,#003C87
0,60,140,#003C8C
0,60,145,#003C91
0,60,150,#003C96
0,60,155,#003C9B
0,60,160,#003CA0
0,60,165,#003CA5
0,60,170,#003CAA
0,60,175,#003CAF
0,60,180,#003CB4
0,60,185,#003CB9
0,60,190,#003CBE
0,60,195,#003CC3
0,60,200,#003CC8
0,60,205,#003CCD
0,60,210,#003CD2
0,60,215,#003CD7
0,60,220,#003CDC
0,60,225,#003CE1
0,60,230,#003CE6
0,60,235,#003CEB
0,60,240,#003CF0
0,60,245,#003CF5
0,60,250,#003CFA
0,60,255,#003CFF
0,65,0,#004100
0,65,5,#004105
0,65,10,#00410A
0,65,15,#00410F
0,65,20,#004114
0,65,25,#004119
0,65,30,#00411E
0,65,35,#004123
0,65,40,#004128
0,65,45,#00412D
0,65,50,#004132
0,65,55,#004137
0,65,60,#00413C
0,65,65,#004141
0,65,70,#004146
0,65,75,#00414B
0,65,80,#004150
0,65,85,#004155
0,65,90,#00415A
0,65,95,#00415F
0,65,100,#004164
0,65,105,#004169
0,65,110,#00416E
0,65,115,#004173
0,65,120,#004178
0,65,125,#00417D
0,65,130,#004182
0,65,135,#004187
0,65,140,#00418C
0,65,145,#004191
0,65,150,#004196
0,65,155,#00419B
0,65,160,#0041A0
0,65,165,#0041A5
0,65,170,#0041AA
0,65,175,#0041AF
0,65,180,#0041B4
0,65,185,#0041B9
0,65,190,#0041BE
0,65,195,#0041C3
0,65,200,#0041C8
0,65,205,#0041CD
0,65,210,#0041D2
0,65,215,#0041D7
0,65,220,#0041DC
0,65,225,#0041E1
0,65,230,#0041E6
0,65,235,#0041EB
0,65,240,#0041F0
0,65,245,#0041F5
0,65,250,#0041FA
0,65,255,#0041FF
0,70,0,#004600
0,70,5,#004605
0,70,10,#00460A
0,70,15,#00460F
0,70,20,#004614
0,70,25,#004619
0,70,30,#00461E
0,70,35,#004623
0,70,40,#004628
0,70,45,#00462D
0,70,50,#004632
0,70,55,#004637
0,70,60,#00463C
0,70,65,#004641
0,70,70,#004646
0,70,75,#00464B
0,70,80,#004650
0,70,85,#004655
0,70,90,#00465A
0,70,95,#00465F
0,70,100,#004664
0,70,105,#004669
0,70,110,#00466E
0,70,115,#004673
0,70,120,#004678
0,70,125,#00467D
0,70,130,#004682
0,70,135,#004687
0,70,140,#00468C
0,70,145,#004691
0,70,150,#004696
0,70,155,#00469B
0,70,160,#0046A0
0,70,165,#0046A5
0,70,170,#0046AA
0,70,175,#0046AF
0,70,180,#0046B4
0,70,185,#0046B9
0,70,190,#0046BE
0,70,195,#0046C3
0,70,200,#0046C8
0,70,205,#0046CD
0,70,210,#0046D2
0,70,215,#0046D7
0,70,220,#0046DC
0,70,225,#0046E1
0,70,230,#0046E6
0,70,235,#0046EB
0,70,240,#0046F0
0,70,245,#0046F5
0,70,250,#0046FA
0,70,255,#0046FF
0,75,0,#004B00
0,75,5,#004B05
0,75,10,#004B0A
0,75,15,#004B0F
0,75,20,#004B14
0,75,25,#004B19
0,75,30,#004B1E
0,75,35,#004B23
0,75,40,#004B28
0,75,45,#004B2D
0,75,50,#004B32
0,75,55,#004B37
0,75,60,#004B3C
0,75,65,#004B41
0,75,70,#004B46
0,75,75,#004B4B
0,75,80,#004B50
0,75,85,#004B55
0,75,90,#004B5A
0,75,95,#004B5F
0,75,100,#004B64
0,75,105,#004B69
0,75,110,#004B6E
0,75,115,#004B73
0,75,120,#004B78
0,75,125,#004B7D
0,75,130,#004B82
0,75,135,#004B87
0,75,140,#004B8C
0,75,145,#004B91
0,75,150,#004B96
0,75,155,#004B9B
0,75,160,#004BA0
0,75,165,#004BA5
0,75,170,#004BAA
0,75,175,#004BAF
0,75,180,#004BB4
0,75,185,#004BB9
0,75,190,#004BBE
0,75,195,#004BC3
0,75,200,#004BC8
0,75,205,#004BCD
0,75,210,#004BD2
0,75,215,#004BD7
0,75,220,#004BDC
0,75,225,#004BE1
0,75,230,#004BE6
0,75,235,#004BEB
0,75,240,#004BF0
0,75,245,#004BF5
0,75,250,#004BFA
0,75,255,#004BFF
0,80,0,#005000
0,80,5,#005005
0,80,10,#00500A
0,80,15,#00500F
0,80,20,#005014
0,80,25,#005019
0,80,30,#00501E
0,80,35,#005023
0,80,40,#005028
0,80,45,#00502D
0,80,50,#005032
0,80,55,#005037
0,80,60,#00503C
0,80,65,#005041
0,80,70,#005046
0,80,75,#00504B
0,80,80,#005050
0,80,85,#005055
0,80,90,#00505A
0,80,95,#00505F
0,80,100,#005064
0,80,105,#005069
0,80,110,#00506E
0,80,115,#005073
0,80,120,#005078
0,80,125,#00507D
0,80,130,#005082
0,80,135,#005087
0,80,140,#00508C
0,80,145,#005091
0,80,150,#005096
0,80,155,#00509B
0,80,160,#0050A0
0,80,165,#0050A5
0,80,170,#0050AA
0,80,175,#0050AF
0,80,180,#0050B4
0,80,185,#0050B9
0,80,190,#0050BE
0,80,195,#0050C3
0,80,200,#0050C8
0,80,205,#0050CD
0,80,210,#0050D2
0,80,215,#0050D7
0,80,220,#0050DC
0,80,225,#0050E1
0,80,230,#0050E6
0,80,235,#0050EB
0,80,240,#0050F0
0,80,245,#0050F5
0,80,250,#0050FA
0,80,255,#0050FF
0,85,0,#005500
0,85,5,#005505
0,85,10,#00550A
0,85,15,#00550F
0,85,20,#005514
0,85,25,#005519
0,85,30,#00551E
0,85,35,#005523
0,85,40,#005528
0,85,45,#00552D
0,85,50,#005532
0,85,55,#005537
0,85,60,#00553C
0,85,65,#005541
0,85,70,#005546
0,85,75,#00554B
0,85,80,#005550
0,85,85,#005555
0,85,90,#00555A
0,85,95,#00555F
0,85,100,#005564
0,85,105,#005569
0,85,110,#00556E
0,85,115,#005573
0,85,120,#005578
0,85,125,#00557D
0,85,130,#005582
0,85,135,#005587
0,85,140,#00558C
0,85,145,#005591
0,85,150,#005596
0,85,155,#00559B
0,85,160,#0055A0
0,85,165,#0055A5
0,85,170,#0055AA
0,85,175,#0055AF
0,85,180,#0055B4
0,85,185,#0055B9
0,85,190,#0055BE
0,85,195,#0055C3
0,85,200,#0055C8
0,85,205,#0055CD
0,85,210,#0055D2
0,85,215,#0055D7
0,85,220,#0055DC
0,85,225,#0055E1
0,85,230,#0055E6
0,85,235,#0055EB
0,85,240,#0055F0
0,85,245,#0055F5
0,85,250,#0055FA
0,85,255,#0055FF
0,90,0,#005A00
0,90,5,#005A05
0,90,10,#005A0A
0,90,15,#005A0F
0,90,20,#005A14
0,90,25,#005A19
0,90,30,#005A1E
0,90,35,#005A23
0,90,40,#005A28
0,90,45,#005A2D
0,90,50,#005A32
0,90,55,#005A37
0,90,60,#005A3C
0,90,65,#005A41
0,90,70,#005A46
0,90,75,#005A4B
0,90,80,#005A50
0,90,85,#005A55
0,90,90,#005A5A
0,90,95,#005A5F
0,90,100,#005A64
0,90,105,#005A69
0,90,110,#005A6E
0,90,115,#005A73
0,90,120,#005A78
0,90,125,#005A7D
0,90,130,#005A82
0,90,135,#005A87
0,90,140,#005A8C
0,90,145,#005A91
0,90,150,#005A96
0,90,155,#005A9B
0,90,160,#005AA0
0,90,165,#005AA5
0,90,170,#005AAA
0,90,175,#005AAF
0,90,180,#005AB4
0,90,185,#005AB9
0,90,190,#005ABE
0,90,195,#005AC3
0,90,200,#005AC8
0,90,205,#005ACD
0,90,210,#005AD2
0,90,215,#005AD7
0,90,220,#005ADC
0,90,225,#005AE1
0,90,230,#005AE6
0,90,235,#005AEB
0,90,240,#005AF0
0,90,245,#005AF5
0,90,250,#005AFA
0,90,255,#005AFF
0,95,0,#005F00
0,95,5,#005F05
0,95,10,#005F0A
0,95,15,#005F0F
0,95,20,#005F14
0,95,25,#005F19
0,95,30,#005F1E
0,95,35,#005F23
0,95,40,#005F28
0,95,45,#005F2D
0,95,50,#005F32
0,95,55,#005F37
0,95,60,#005F3C
0,95,65,#005F41
0,95,70,#005F46
0,95,75,#005F4B
0,95,80,#005F50
0,95,85,#005F55
0,95,90,#005F5A
0,95,95,#005F5F
0,95,100,#005F64
0,95,105,#005F69
0,95,110,#005F6E
0,95,115,#005F73
0,95,120,#005F78
0,95,125,#005F7D
0,95,130,#005F82
0,95,135,#005F87
0,95,140,#005F8C
0,95,145,#005F91
0,95,150,#005F96
0,95,155,#005F9B
0,95,160,#005FA0
0,95,165,#005FA5
0,95,170,#005FAA
0,95,175,#005FAF
0,95,180,#005FB4
0,95,185,#005FB9
0,95,190,#005FBE
0,95,195,#005FC3
0,95,200,#005FC8
0,95,205,#005FCD
0,95,210,#005FD2
0,95,215,#005FD7
0,95,220,#005FDC
0,95,225,#005FE1
0,95,230,#005FE6
0,95,235,#005FEB
0,95,240,#005FF0
0,95,245,#005FF5
0,95,250,#005FFA
0,95,255,#005FFF
0,100,0,#006400
0,100,5,#006405
0,100,10,#00640A
0,100,15,#00640F
0,100,20,#006414
0,100,25,#006419
0,100,30,#00641E
0,100,35,#006423
0,100,40,#006428
0,100,45,#00642D
0,100,50,#006432
0,100,55,#006437
0,100,60,#00643C
0,100,65,#006441
0,100,70,#006446
0,100,75,#00644B
0,100,80,#006450
0,100,85,#006455
0,100,90,#00645A
0,100,95,#00645F
0,100,100,#006464
0,100,105,#006469
0,100,110,#00646E
0,100,115,#006473
0,100,120,#006478
0,100,125,#00647D
0,100,130,#006482
0,100,135,#006487
0,100,140,#00648C
0,100,145,#006491
0,100,150,#006496
0,100,155,#00649B
0,100,160,#0064A0
0,100,165,#0064A5
0,100,170,#0064AA
0,100,175,#0064AF
0,100,180,#0064B4
0,100,185,#0064B9
0,100,190,#0064BE
0,100,195,#0064C3
0,100,200,#0064C8
0,100,205,#0064CD
0,100,210,#0064D2
0,100,215,#0064D7
0,100,220,#0064DC
0,100,225,#0064E1
0,100,230,#0064E6
0,100,235,#0064EB
0,100,240,#0064F0
0,100,245,#0064F5
0,100,250,#0064FA
0,100,255,#0064FF
0,105,0,#006900
0,105,5,#006905
0,105,10,#00690A
0,105,15,#00690F
0,105,20,#006914
0,105,25,#006919
0,105,30,#00691E
0,105,35,#006923
0,105,40,#006928
0,105,45,#00692D
0,105,50,#006932
0,105,55,#006937
0,105,60,#00693C
0,105,65,#006941
0,105,70,#006946
0,105,75,#00694B
0,105,80,#006950
0,105,85,#006955
0,105,90,#00695A
0,105,95,#00695F
0,105,100,#006964
0,105,105,#006969
0,105,110,#00696E
0,105,115,#006973
0,105,120,#006978
0,105,125,#00697D
0,105,130,#006982
0,105,135,#006987
0,105,140,#00698C
0,105,145,#006991
0,105,150,#006996
0,105,155,#00699B
0,105,160,#0069A0
0,105,165,#0069A5
0,105,170,#0069AA
0,105,175,#0069AF
0,105,180,#0069B4
0,105,185,#0069B9
0,105,190,#0069BE
0,105,195,#0069C3
0,105,200,#0069C8
0,105,205,#0069CD
0,105,210,#0069D2
0,105,215,#0069D7
0,105,220,#0069DC
0,105,225,#0069E1
0,105,230,#0069E6
0,105,235,#0069EB
0,105,240,#0069F0
0,105,245,#0069F5
0,105,250,#0069FA
0,105,255,#0069FF
0,110,0,#006E00
0,110,5,#006E05
0,110,10,#006E0A
0,110,15,#006E0F
0,110,20,#006E14
0,110,25,#006E19
0,110,30,#006E1E
0,110,35,#006E23
0,110,40,#006E28
0,110,45,#006E2D
0,110,50,#006E32
0,110,55,#006E37
0,110,60,#006E3C
0,110,65,#006E41
0,110,70,#006E46
0,110,75,#006E4B
0,110,80,#006E50
0,110,85,#006E55
0,110,90,#006E5A
0,110,95,#006E5F
0,110,100,#006E64
0,110,105,#006E69
0,110,110,#006E6E
0,110,115,#006E73
0,110,120,#006E78
0,110,125,#006E7D
0,110,130,#006E82
0,110,135,#006E87
0,110,140,#006E8C
0,110,145,#006E91
0,110,150,#006E96
0,110,155,#006E9B
0,110,160,#006EA0
0,110,165,#006EA5
0,110,170,#006EAA
0,110,175,#006EAF
0,110,180,#006EB4
0,110,185,#006EB9
0,110,190,#006EBE
0,110,195,#006EC3
0,110,200,#006EC8
0,110,205,#006ECD
0,110,210,#006ED2
0,110,215,#006ED7
0,110,220,#006EDC
0,110,225,#006EE1
0,110,230,#006EE6
0,110,235,#006EEB
0,110,240,#006EF0
0,110,245,#006EF5
0,110,250,#006EFA
0,110,255,#006EFF
0,115,0,#007300
0,115,5,#007305
0,115,10,#00730A
0,115,15,#00730F
0,115,20,#007314
0,115,25,#007319
0,115,30,#00731E
0,115,35,#007323
0,115,40,#007328
0,115,45,#00732D
0,115,50,#007332
0,115,55,#007337
0,115,60,#00733C
0,115,65,#007341
0,115,70,#007346
0,115,75,#00734B
0,115,80,#007350
0,115,85,#007355
0,115,90,#00735A
0,115,95,#00735F
0,115,100,#007364
0,115,105,#007369
0,115,110,#00736E
0,115,115,#007373
0,115,120,#007378
0,115,125,#00737D
0,115,130,#007382
0,115,135,#007387
0,115,140,#00738C
0,115,145,#007391
0,115,150,#007396
0,115,155,#00739B
0,115,160,#0073A0
0,115,165,#0073A5
0,115,170,#0073AA
0,115,175,#0073AF
0,115,180,#0073B4
0,115,185,#0073B9
0,115,190,#0073BE
0,115,195,#0073C3
0,115,200,#0073C8
0,115,205,#0073CD
0,115,210,#0073D2
0,115,215,#0073D7
0,115,220,#0073DC
0,115,225,#0073E1
0,115,230,#0073E6
0,115,235,#0073EB
0,115,240,#0073F0
